Epic Title,Epic URL,Product Area,Flow Labels,Issue Title,Issue URL,Demo Milestone?
"Epic: Accessibility & Amenity Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/109","Accessibility","flow:browse-listings, flow:create-listing","Update listing schema with accessibility & amenity fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/24","Yes"
"Epic: Accessibility & Amenity Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/109","Accessibility","flow:browse-listings, flow:create-listing","Accessibility/Amenity: Gap analysis against current schema and UI","https://github.com/CivicTechWR/affordable-housing-portal/issues/50","Yes"
"Epic: Accessibility & Amenity Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/109","Accessibility","flow:browse-listings, flow:create-listing","Accessibility/Amenity: Backend net-new schema + DTO implementation","https://github.com/CivicTechWR/affordable-housing-portal/issues/51","Yes"
"Epic: Accessibility & Amenity Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/109","Accessibility","flow:browse-listings, flow:create-listing","Accessibility/Amenity: Partners form updates for net-new fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/52","Yes"
"Epic: Accessibility & Amenity Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/109","Accessibility","flow:browse-listings, flow:create-listing","Accessibility/Amenity: Public listing + filtering updates for net-new fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/53","Yes"
"Epic: Accessibility & Amenity Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/109","Accessibility","flow:browse-listings, flow:create-listing","Create documentation around how to update accessibility fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/94","Yes"
"Epic: Graded Preferences","https://github.com/CivicTechWR/affordable-housing-portal/issues/110","Listings","flow:browse-listings","Feature: Graded preferences for search (Must Have vs. Nice to Have)","https://github.com/CivicTechWR/affordable-housing-portal/issues/29","Yes"
"Epic: Graded Preferences","https://github.com/CivicTechWR/affordable-housing-portal/issues/110","Listings","flow:browse-listings","Graded Preferences Backend: DTO/API contract for filter priority","https://github.com/CivicTechWR/affordable-housing-portal/issues/57","Yes"
"Epic: Graded Preferences","https://github.com/CivicTechWR/affordable-housing-portal/issues/110","Listings","flow:browse-listings","Graded Preferences Backend: Relevance scoring and result ordering","https://github.com/CivicTechWR/affordable-housing-portal/issues/58","Yes"
"Epic: Graded Preferences","https://github.com/CivicTechWR/affordable-housing-portal/issues/110","Listings","flow:browse-listings","Graded Preferences Backend: Relevance metadata in response + integration tests","https://github.com/CivicTechWR/affordable-housing-portal/issues/59","No"
"Epic: Graded Preferences","https://github.com/CivicTechWR/affordable-housing-portal/issues/110","Listings","flow:browse-listings","Graded Preferences Frontend: Priority controls in listings filter UI","https://github.com/CivicTechWR/affordable-housing-portal/issues/60","Yes"
"Epic: Graded Preferences","https://github.com/CivicTechWR/affordable-housing-portal/issues/110","Listings","flow:browse-listings","Graded Preferences Frontend: Relevance indicators on listing results","https://github.com/CivicTechWR/affordable-housing-portal/issues/61","Yes"
"Epic: Listings Map","https://github.com/CivicTechWR/affordable-housing-portal/issues/111","Listings","flow:browse-listings","Display housing listings on an interactive map","https://github.com/CivicTechWR/affordable-housing-portal/issues/25","No"
"Epic: Listings Map","https://github.com/CivicTechWR/affordable-housing-portal/issues/111","Listings","flow:browse-listings","Listings Map: Public browse map view using mapMarkers endpoint","https://github.com/CivicTechWR/affordable-housing-portal/issues/54","Yes"
"Epic: Listings Map","https://github.com/CivicTechWR/affordable-housing-portal/issues/111","Listings","flow:browse-listings","Listings Map: Synchronize filter/query state between list and map results","https://github.com/CivicTechWR/affordable-housing-portal/issues/55","Yes"
"Epic: Listings Map","https://github.com/CivicTechWR/affordable-housing-portal/issues/111","Listings","flow:browse-listings","Listings Map: UX/performance hardening + test coverage","https://github.com/CivicTechWR/affordable-housing-portal/issues/56","No"
"Epic: Listing Alerts","https://github.com/CivicTechWR/affordable-housing-portal/issues/112","Alerts","flow:listing-alerts","Feature: Listing alert notifications","https://github.com/CivicTechWR/affordable-housing-portal/issues/27","Yes"
"Epic: Listing Alerts","https://github.com/CivicTechWR/affordable-housing-portal/issues/112","Alerts","flow:listing-alerts","Listing Alerts: Backend alert model + criteria storage","https://github.com/CivicTechWR/affordable-housing-portal/issues/33","Yes"
"Epic: Listing Alerts","https://github.com/CivicTechWR/affordable-housing-portal/issues/112","Alerts","flow:listing-alerts","Listing Alerts: Scheduled matching job + notification delivery","https://github.com/CivicTechWR/affordable-housing-portal/issues/34","Yes"
"Epic: Listing Alerts","https://github.com/CivicTechWR/affordable-housing-portal/issues/112","Alerts","flow:listing-alerts","Listing Alerts: Frontend alert setup + management UI","https://github.com/CivicTechWR/affordable-housing-portal/issues/35","Yes"
"Epic: Listing Alerts","https://github.com/CivicTechWR/affordable-housing-portal/issues/112","Alerts","flow:listing-alerts","Listing Alerts Scheduler: Matching engine + lastRun state updates","https://github.com/CivicTechWR/affordable-housing-portal/issues/69","No"
"Epic: Listing Alerts","https://github.com/CivicTechWR/affordable-housing-portal/issues/112","Alerts","flow:listing-alerts","Listing Alerts Scheduler: Notification delivery templates + batching rules","https://github.com/CivicTechWR/affordable-housing-portal/issues/70","No"
"Epic: Listing Alerts","https://github.com/CivicTechWR/affordable-housing-portal/issues/112","Alerts","flow:listing-alerts","Listing Alerts Scheduler: Reliability/observability controls","https://github.com/CivicTechWR/affordable-housing-portal/issues/71","No"
"Epic: No-Code Resources","https://github.com/CivicTechWR/affordable-housing-portal/issues/113","Resources","flow:view-resources","Enable no-code updates for Resources page","https://github.com/CivicTechWR/affordable-housing-portal/issues/28","Yes"
"Epic: No-Code Resources","https://github.com/CivicTechWR/affordable-housing-portal/issues/113","Resources","flow:view-resources","No-Code Resources: Backend data model + CRUD API","https://github.com/CivicTechWR/affordable-housing-portal/issues/36","Yes"
"Epic: No-Code Resources","https://github.com/CivicTechWR/affordable-housing-portal/issues/113","Resources","flow:view-resources","No-Code Resources: Admin management UI + public page update","https://github.com/CivicTechWR/affordable-housing-portal/issues/37","Yes"
"Epic: No-Code Resources","https://github.com/CivicTechWR/affordable-housing-portal/issues/113","Resources","flow:view-resources","No-Code Resources UI: Partners admin management experience","https://github.com/CivicTechWR/affordable-housing-portal/issues/72","Yes"
"Epic: No-Code Resources","https://github.com/CivicTechWR/affordable-housing-portal/issues/113","Resources","flow:view-resources","No-Code Resources UI: Public resources rendering from API data","https://github.com/CivicTechWR/affordable-housing-portal/issues/73","Yes"
"Epic: Metadata Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/114","Listing Creation","flow:create-listing","Create additional metadata fields for listings","https://github.com/CivicTechWR/affordable-housing-portal/issues/22","Yes"
"Epic: Metadata Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/114","Listing Creation","flow:create-listing","Metadata Fields: Discovery + canonical field specification","https://github.com/CivicTechWR/affordable-housing-portal/issues/42","Yes"
"Epic: Metadata Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/114","Listing Creation","flow:create-listing","Metadata Fields: Backend schema + DTOs for approved fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/43","Yes"
"Epic: Metadata Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/114","Listing Creation","flow:create-listing","Metadata Fields: Partners listing form inputs + validation","https://github.com/CivicTechWR/affordable-housing-portal/issues/44","Yes"
"Epic: Metadata Fields","https://github.com/CivicTechWR/affordable-housing-portal/issues/114","Listing Creation","flow:create-listing","Metadata Fields: Public listing display + CSV/export integration","https://github.com/CivicTechWR/affordable-housing-portal/issues/45","Yes"
"Epic: Super Admin Config","https://github.com/CivicTechWR/affordable-housing-portal/issues/115","Foundation","flow:configure-portal","Super Admin dynamic platform configuration","https://github.com/CivicTechWR/affordable-housing-portal/issues/23","No"
"Epic: Super Admin Config","https://github.com/CivicTechWR/affordable-housing-portal/issues/115","Foundation","flow:configure-portal","Super Admin Config: Permission model audit + enforcement","https://github.com/CivicTechWR/affordable-housing-portal/issues/46","No"
"Epic: Super Admin Config","https://github.com/CivicTechWR/affordable-housing-portal/issues/115","Foundation","flow:configure-portal","Super Admin Config: Data model + CRUD API for dynamic listing field definitions","https://github.com/CivicTechWR/affordable-housing-portal/issues/47","No"
"Epic: Super Admin Config","https://github.com/CivicTechWR/affordable-housing-portal/issues/115","Foundation","flow:configure-portal","Super Admin Config: Partners UI for managing field definitions","https://github.com/CivicTechWR/affordable-housing-portal/issues/48","No"
"Epic: Super Admin Config","https://github.com/CivicTechWR/affordable-housing-portal/issues/115","Foundation","flow:configure-portal","Super Admin Config: Runtime listing form rendering from field configuration","https://github.com/CivicTechWR/affordable-housing-portal/issues/49","No"
"Standalone","","Listings","flow:browse-listings","Always have filters on in frontend","https://github.com/CivicTechWR/affordable-housing-portal/issues/87","Yes"
"Standalone","","Listings","flow:browse-listings","Feature: User-controlled sort for listings browse","https://github.com/CivicTechWR/affordable-housing-portal/issues/96","Yes"
"Standalone","","Listings","flow:browse-listings","feat: Improve listing image viewer with lightbox carousel gallery","https://github.com/CivicTechWR/affordable-housing-portal/issues/98","Yes"
"Standalone","","Listings","flow:browse-listings","Feature: Saved Searches","https://github.com/CivicTechWR/affordable-housing-portal/issues/8","No"
"Standalone","","Listings","flow:browse-listings","Searcher can view listings by unit instead of by building","https://github.com/CivicTechWR/affordable-housing-portal/issues/116","Yes"
"Standalone","","Listing Creation","flow:create-listing","Configure Cloudinary for housing provider image uploads","https://github.com/CivicTechWR/affordable-housing-portal/issues/21","Yes"
"Standalone","","Listing Creation","flow:create-listing","Remove Application Due Dates","https://github.com/CivicTechWR/affordable-housing-portal/issues/9","Yes"
"Standalone","","Listing Creation","flow:create-listing","Remove Leasing Agent Address","https://github.com/CivicTechWR/affordable-housing-portal/issues/10","Yes"
"Standalone","","Listing Creation","flow:create-listing","Follow-up: Reconcile disableCommonApplication after removing Application Types UI","https://github.com/CivicTechWR/affordable-housing-portal/issues/76","Yes"
"Standalone","","Listing Creation","flow:create-listing","Replace State/Zip Code with Province/Postal Code","https://github.com/CivicTechWR/affordable-housing-portal/issues/95","Yes"
"Standalone","","Resources","flow:view-resources","Research Bookstack or similar for resource page editing","https://github.com/CivicTechWR/affordable-housing-portal/issues/117","Yes"
"Standalone","","User Management","flow:manage-users","Remove ability for the public to create an account","https://github.com/CivicTechWR/affordable-housing-portal/issues/13","Yes"
"Standalone","","User Management","flow:manage-users","Remove sign up button from public page","https://github.com/CivicTechWR/affordable-housing-portal/issues/85","Yes"
"Standalone","","User Management","flow:manage-users","Enable admin to control who can be a housing searcher","https://github.com/CivicTechWR/affordable-housing-portal/issues/19","Yes"
"Standalone","","User Management","flow:manage-users","Housing Searcher Access: Invite/approval workflow in partners user management","https://github.com/CivicTechWR/affordable-housing-portal/issues/68","Yes"
"Standalone","","User Management","flow:manage-users","Admin can invite social workers to browse listings","https://github.com/CivicTechWR/affordable-housing-portal/issues/118","Yes"
"Standalone","","User Management","flow:manage-users","Provide permissions for partners to create listings","https://github.com/CivicTechWR/affordable-housing-portal/issues/119","Yes"
"Standalone","","Foundation","flow:configure-portal","Update region name from Bloomington To Waterloo Region","https://github.com/CivicTechWR/affordable-housing-portal/issues/93","Yes"
"Standalone","","Foundation","flow:configure-portal","Replace example.com placeholders once official domain is available","https://github.com/CivicTechWR/affordable-housing-portal/issues/89","Yes"
"Standalone","","Foundation","flow:configure-portal","Verify and Document Listing Close/Reopen Code Path (No Hard Deletes)","https://github.com/CivicTechWR/affordable-housing-portal/issues/97","Yes"
"Standalone","","Foundation","flow:configure-portal","Remove Bloom-specific features unrelated to our use case","https://github.com/CivicTechWR/affordable-housing-portal/issues/120","Yes"
"Standalone","","Foundation","flow:configure-portal","Configure fork CI secrets for Cypress map-dependent tests","https://github.com/CivicTechWR/affordable-housing-portal/issues/17","No"
