entity_type,entity_name,entity_uuid,parent_entity_uuid,parent_name,parent_path,status_name,pb_url,hierarchy,"Existence In Bloom Housing",Owner,"Work progress"
Product,"Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c",null,,"c8556256-acbc-4403-83cc-ed296b1bfe0c",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpjODU1NjI1Ni1hY2JjLTQ0MDMtODNjYy1lZDI5NmIxYmZlMGM=",,,"Jessica Liu",
Component,"Add keys for Resource items on Resources page","68e0ce1e-e80f-400f-b31c-8fbd475b504b","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/68e0ce1e-e80f-400f-b31c-8fbd475b504b",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo2OGUwY2UxZS1lODBmLTQwMGYtYjMxYy04ZmJkNDc1YjUwNGI=","Affordable Housing Portal",,"Sarah B",
Feature,"Get real content and populate","87d77b44-ccf3-4997-bca1-4e8d25f477b3","68e0ce1e-e80f-400f-b31c-8fbd475b504b","Add keys for Resource items on Resources page","c8556256-acbc-4403-83cc-ed296b1bfe0c/68e0ce1e-e80f-400f-b31c-8fbd475b504b/87d77b44-ccf3-4997-bca1-4e8d25f477b3",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo4N2Q3N2I0NC1jY2YzLTQ5OTctYmNhMS00ZThkMjVmNDc3YjM=","Affordable Housing Portal","Requires Additional Work","Sarah B",0
Feature,"Set up new keys ","b4ae96ec-e11d-48bc-90e8-73219ded05f6","68e0ce1e-e80f-400f-b31c-8fbd475b504b","Add keys for Resource items on Resources page","c8556256-acbc-4403-83cc-ed296b1bfe0c/68e0ce1e-e80f-400f-b31c-8fbd475b504b/b4ae96ec-e11d-48bc-90e8-73219ded05f6",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpiNGFlOTZlYy1lMTFkLTQ4YmMtOTBlOC03MzIxOWRlZDA1ZjY=","Affordable Housing Portal","Requires Additional Work","Sarah B",0
Component,Branding,"3adbc416-6eef-41e8-95d6-fd43225c845b","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/3adbc416-6eef-41e8-95d6-fd43225c845b",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTozYWRiYzQxNi02ZWVmLTQxZTgtOTVkNi1mZDQzMjI1Yzg0NWI=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Remove references to bloom housing in code","2525b156-f4cd-4bb6-b895-20ce17b339d6","3adbc416-6eef-41e8-95d6-fd43225c845b",Branding,"c8556256-acbc-4403-83cc-ed296b1bfe0c/3adbc416-6eef-41e8-95d6-fd43225c845b/2525b156-f4cd-4bb6-b895-20ce17b339d6",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eToyNTI1YjE1Ni1mNGNkLTRiYjYtYjg5NS0yMGNlMTdiMzM5ZDY=","Affordable Housing Portal","Fully Implemented","Matt Baker",100
Feature,"Remove references to bloom housing in documentation","e1e9de06-a498-4aa6-8e3f-b83cbafc8f8e","3adbc416-6eef-41e8-95d6-fd43225c845b",Branding,"c8556256-acbc-4403-83cc-ed296b1bfe0c/3adbc416-6eef-41e8-95d6-fd43225c845b/e1e9de06-a498-4aa6-8e3f-b83cbafc8f8e",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTplMWU5ZGUwNi1hNDk4LTRhYTYtOGUzZi1iODNjYmFmYzhmOGU=","Affordable Housing Portal","Fully Implemented","Matt Baker",100
Component,"Housing Searcher Login Page","0ff90243-da05-42e7-b5b6-73af762beaee","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/0ff90243-da05-42e7-b5b6-73af762beaee",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTowZmY5MDI0My1kYTA1LTQyZTctYjViNi03M2FmNzYyYmVhZWU=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Searchers can sign in","59dc7cd2-b51e-41e9-9ed5-ac40f4a0b689","0ff90243-da05-42e7-b5b6-73af762beaee","Housing Searcher Login Page","c8556256-acbc-4403-83cc-ed296b1bfe0c/0ff90243-da05-42e7-b5b6-73af762beaee/59dc7cd2-b51e-41e9-9ed5-ac40f4a0b689",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo1OWRjN2NkMi1iNTFlLTQxZTktOWVkNS1hYzQwZjRhMGI2ODk=","Affordable Housing Portal","Fully Implemented","Jessica Liu",0
Feature,"Remove ability for the public to create an account","8f2265c2-e6b0-45e9-90fe-6aaf228ce313","0ff90243-da05-42e7-b5b6-73af762beaee","Housing Searcher Login Page","c8556256-acbc-4403-83cc-ed296b1bfe0c/0ff90243-da05-42e7-b5b6-73af762beaee/8f2265c2-e6b0-45e9-90fe-6aaf228ce313",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo4ZjIyNjVjMi1lNmIwLTQ1ZTktOTBmZS02YWFmMjI4Y2UzMTM=","Affordable Housing Portal","Fully Implemented","Jessica Liu",0
Component,"Admin can adjust building listing form","239bc989-fdd4-4545-8213-1879b4045459","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/239bc989-fdd4-4545-8213-1879b4045459",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eToyMzliYzk4OS1mZGQ0LTQ1NDUtODIxMy0xODc5YjQwNDU0NTk=","Affordable Housing Portal",,"Jessica Liu",
Feature,"UI that configures building listing forms","f1ff07fe-9086-4513-9724-d8e93c2be913","239bc989-fdd4-4545-8213-1879b4045459","Admin can adjust building listing form","c8556256-acbc-4403-83cc-ed296b1bfe0c/239bc989-fdd4-4545-8213-1879b4045459/f1ff07fe-9086-4513-9724-d8e93c2be913",Candidate,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpmMWZmMDdmZS05MDg2LTQ1MTMtOTcyNC1kOGU5M2MyYmU5MTM=","Affordable Housing Portal","Needs research","Jessica Liu",0
Component,"Admin Can Manage Different Users","67793d36-9138-49fd-8569-b18b1975273d","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/67793d36-9138-49fd-8569-b18b1975273d",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo2Nzc5M2QzNi05MTM4LTQ5ZmQtODU2OS1iMThiMTk3NTI3M2Q=","Affordable Housing Portal",,Adin,
Feature,"Enable admin to control who can be a listing creator","cb477670-a735-4bde-b6bf-d4c6d94c2874","67793d36-9138-49fd-8569-b18b1975273d","Admin Can Manage Different Users","c8556256-acbc-4403-83cc-ed296b1bfe0c/67793d36-9138-49fd-8569-b18b1975273d/cb477670-a735-4bde-b6bf-d4c6d94c2874",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpjYjQ3NzY3MC1hNzM1LTRiZGUtYjZiZi1kNGM2ZDk0YzI4NzQ=","Affordable Housing Portal","Fully Implemented","Jessica Liu",100
Feature,"Enable admin to control who can be a housing searcher","7833997c-7ebf-4dfc-b51b-f8b7ff19e5b1","67793d36-9138-49fd-8569-b18b1975273d","Admin Can Manage Different Users","c8556256-acbc-4403-83cc-ed296b1bfe0c/67793d36-9138-49fd-8569-b18b1975273d/7833997c-7ebf-4dfc-b51b-f8b7ff19e5b1",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo3ODMzOTk3Yy03ZWJmLTRkZmMtYjUxYi1mOGI3ZmYxOWU1YjE=","Affordable Housing Portal","Requires Additional Work",Adin,0
Component,"Create no code way to change resources","78045d66-2edc-42e4-bbdd-6d8cb7ba8faa","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/78045d66-2edc-42e4-bbdd-6d8cb7ba8faa",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo3ODA0NWQ2Ni0yZWRjLTQyZTQtYmJkZC02ZDhjYjdiYThmYWE=","Affordable Housing Portal",,Adin,
Feature,"Enable No-Code Updates for Resources Page","83147f9e-ddb4-4f3c-b379-5f683e2793f2","78045d66-2edc-42e4-bbdd-6d8cb7ba8faa","Create no code way to change resources","c8556256-acbc-4403-83cc-ed296b1bfe0c/78045d66-2edc-42e4-bbdd-6d8cb7ba8faa/83147f9e-ddb4-4f3c-b379-5f683e2793f2",Candidate,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo4MzE0N2Y5ZS1kZGI0LTRmM2MtYjM3OS01ZjY4M2UyNzkzZjI=","Affordable Housing Portal","Requires Additional Work",Adin,0
Feature,"Epic: Super Admin Functionality","801fb99f-cff6-4cc5-853f-8240cc63a056","78045d66-2edc-42e4-bbdd-6d8cb7ba8faa","Create no code way to change resources","c8556256-acbc-4403-83cc-ed296b1bfe0c/78045d66-2edc-42e4-bbdd-6d8cb7ba8faa/801fb99f-cff6-4cc5-853f-8240cc63a056",Candidate,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo4MDFmYjk5Zi1jZmY2LTRjYzUtODUzZi04MjQwY2M2M2EwNTY=","Affordable Housing Portal","Requires Additional Work",Adin,0
Feature,"Research: ""Programs"" Feature Utility","7d97418d-aa70-4096-86c7-c18017e03918","78045d66-2edc-42e4-bbdd-6d8cb7ba8faa","Create no code way to change resources","c8556256-acbc-4403-83cc-ed296b1bfe0c/78045d66-2edc-42e4-bbdd-6d8cb7ba8faa/7d97418d-aa70-4096-86c7-c18017e03918",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo3ZDk3NDE4ZC1hYTcwLTQwOTYtODZjNy1jMTgwMTdlMDM5MTg=","Affordable Housing Portal","Fully Implemented",Adin,100
Component,"Manage casework and recall client options","2834b710-b29c-4aa8-be56-44384b69a47e","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/2834b710-b29c-4aa8-be56-44384b69a47e",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eToyODM0YjcxMC1iMjljLTRhYTgtYmU1Ni00NDM4NGI2OWE0N2U=","Affordable Housing Portal",,Adin,
Feature,"Feature: Saved Listings (Favorites)","b08bf56f-52e7-4188-96a1-36b1874ca15b","2834b710-b29c-4aa8-be56-44384b69a47e","Manage casework and recall client options","c8556256-acbc-4403-83cc-ed296b1bfe0c/2834b710-b29c-4aa8-be56-44384b69a47e/b08bf56f-52e7-4188-96a1-36b1874ca15b",Candidate,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpiMDhiZjU2Zi01MmU3LTQxODgtOTZhMS0zNmIxODc0Y2ExNWI=","Affordable Housing Portal","Fully Implemented",Adin,0
Feature,"Research: Housing Application Storage Flow","127171b1-ac45-47cc-b1d9-d76b8ee33d8b","2834b710-b29c-4aa8-be56-44384b69a47e","Manage casework and recall client options","c8556256-acbc-4403-83cc-ed296b1bfe0c/2834b710-b29c-4aa8-be56-44384b69a47e/127171b1-ac45-47cc-b1d9-d76b8ee33d8b",Candidate,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eToxMjcxNzFiMS1hYzQ1LTQ3Y2MtYjFkOS1kNzZiOGVlMzNkOGI=","Affordable Housing Portal","Fully Implemented",Adin,0
Feature,"Feature: Named Saved Filters","fbf3276b-61e0-4ac3-a64a-989477f6c57b","2834b710-b29c-4aa8-be56-44384b69a47e","Manage casework and recall client options","c8556256-acbc-4403-83cc-ed296b1bfe0c/2834b710-b29c-4aa8-be56-44384b69a47e/fbf3276b-61e0-4ac3-a64a-989477f6c57b",Candidate,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpmYmYzMjc2Yi02MWUwLTRhYzMtYTY0YS05ODk0NzdmNmM1N2I=","Affordable Housing Portal","Requires Additional Work",Adin,0
Component,"Find housing that fits specific client requirements","da6d30fa-8805-4108-bc8b-38b9627d9716","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpkYTZkMzBmYS04ODA1LTQxMDgtYmM4Yi0zOGI5NjI3ZDk3MTY=","Affordable Housing Portal",,Adin,
