entity_type,entity_name,entity_uuid,parent_entity_uuid,parent_name,parent_path,status_name,pb_url,hierarchy,"Existence In Bloom Housing",Owner,"Work progress"
Feature,"Users can filter by rental price","020e40d7-6734-4fed-91ff-b03a0fd0ed87","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/020e40d7-6734-4fed-91ff-b03a0fd0ed87",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTowMjBlNDBkNy02NzM0LTRmZWQtOTFmZi1iMDNhMGZkMGVkODc=","Affordable Housing Portal","Fully Implemented","Sean Campbell",100
Feature,"Sort by date posted","99fe274d-90da-4c56-b1ce-8f79a93376e8","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/99fe274d-90da-4c56-b1ce-8f79a93376e8",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo5OWZlMjc0ZC05MGRhLTRjNTYtYjFjZS04Zjc5YTkzMzc2ZTg=","Affordable Housing Portal","Needs research","Sean Campbell",0
Feature,"Users can view housing listings in table format","6e1dcf4f-4e28-47c6-ae5e-4e4ff9460366","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/6e1dcf4f-4e28-47c6-ae5e-4e4ff9460366","New idea","https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo2ZTFkY2Y0Zi00ZTI4LTQ3YzYtYWU1ZS00ZTRmZjk0NjAzNjY=","Affordable Housing Portal","Needs research","Jessica Liu",0
Feature,"Users can view housing listings","c2a2a0bf-0c79-4a13-a6c6-40d22d4f89fa","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/c2a2a0bf-0c79-4a13-a6c6-40d22d4f89fa",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpjMmEyYTBiZi0wYzc5LTRhMTMtYTZjNi00MGQyMmQ0Zjg5ZmE=","Affordable Housing Portal","Fully Implemented","Jessica Liu",0
Feature,"User can set up an alert for when a listing meeting their need appears","33ab0a0e-3e46-4035-a547-2d27cc4c22b7","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/33ab0a0e-3e46-4035-a547-2d27cc4c22b7",Candidate,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTozM2FiMGEwZS0zZTQ2LTQwMzUtYTU0Ny0yZDI3Y2M0YzIyYjc=","Affordable Housing Portal","Requires Additional Work","Jessica Liu",0
Feature,"Users can see housing listings on a map","274037c6-5ca7-432a-9319-ba9c2854e443","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/274037c6-5ca7-432a-9319-ba9c2854e443",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eToyNzQwMzdjNi01Y2E3LTQzMmEtOTMxOS1iYTljMjg1NGU0NDM=","Affordable Housing Portal","Requires Additional Work","Jessica Liu",0
Feature,"Update Listing Schema with Accessibility & Amenity Fields","9e85f86f-7eca-439d-a1ae-715264192a95","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/9e85f86f-7eca-439d-a1ae-715264192a95",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo5ZTg1Zjg2Zi03ZWNhLTQzOWQtYTFhZS03MTUyNjQxOTJhOTU=","Affordable Housing Portal","Requires Additional Work",Adin,0
Feature,"Ensure Visibility of Contact Info","a62e8e64-d38f-4995-8200-99b826b792d8","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/a62e8e64-d38f-4995-8200-99b826b792d8",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTphNjJlOGU2NC1kMzhmLTQ5OTUtODIwMC05OWI4MjZiNzkyZDg=","Affordable Housing Portal","Fully Implemented",Adin,0
Feature,"Feature: Graded Preferences for Search","f787e7fc-bb10-4118-b215-8036e57a3034","da6d30fa-8805-4108-bc8b-38b9627d9716","Find housing that fits specific client requirements","c8556256-acbc-4403-83cc-ed296b1bfe0c/da6d30fa-8805-4108-bc8b-38b9627d9716/f787e7fc-bb10-4118-b215-8036e57a3034",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpmNzg3ZTdmYy1iYjEwLTQxMTgtYjIxNS04MDM2ZTU3YTMwMzQ=","Affordable Housing Portal","Requires Additional Work",Adin,0
Component,"Admin can invite building owners and users / and or approve users","c5fdebac-dc25-41eb-ba7c-703b4aaeb387","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/c5fdebac-dc25-41eb-ba7c-703b4aaeb387",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpjNWZkZWJhYy1kYzI1LTQxZWItYmE3Yy03MDNiNGFhZWIzODc=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Create loom of this flow","ec4611eb-8e44-4c64-98ac-70f95ee0c768","c5fdebac-dc25-41eb-ba7c-703b4aaeb387","Admin can invite building owners and users / and or approve users","c8556256-acbc-4403-83cc-ed296b1bfe0c/c5fdebac-dc25-41eb-ba7c-703b4aaeb387/ec4611eb-8e44-4c64-98ac-70f95ee0c768",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTplYzQ2MTFlYi04ZTQ0LTRjNjQtOThhYy03MGY5NWVlMGM3Njg=","Affordable Housing Portal","Needs research","Jessica Liu",0
Component,"Foundations ( Tech Infrastructure )","a3c3a3ef-667b-4cb1-8cab-30ff5f5e9fed","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/a3c3a3ef-667b-4cb1-8cab-30ff5f5e9fed",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTphM2MzYTNlZi02NjdiLTRjYjEtOGNhYi0zMGZmNWY1ZTlmZWQ=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Set up password manager for all the services","5d0cd5f1-24d6-4fa2-81ef-aaf0f6da4c1b","a3c3a3ef-667b-4cb1-8cab-30ff5f5e9fed","Foundations ( Tech Infrastructure )","c8556256-acbc-4403-83cc-ed296b1bfe0c/a3c3a3ef-667b-4cb1-8cab-30ff5f5e9fed/5d0cd5f1-24d6-4fa2-81ef-aaf0f6da4c1b","In progress","https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo1ZDBjZDVmMS0yNGQ2LTRmYTItODFlZi1hYWYwZjZkYTRjMWI=","Affordable Housing Portal","Needs research","Jessica Liu",50
Component,"Users can filter based off criteria meeting their needs","b5e83692-acbb-4161-89bf-e6b03f81bde6","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/b5e83692-acbb-4161-89bf-e6b03f81bde6",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpiNWU4MzY5Mi1hY2JiLTQxNjEtODliZi1lNmIwM2Y4MWJkZTY=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Filter Component is displayed on the Housing Portal Listings Page","6bbbef0c-c8aa-46a5-8724-70669b611298","b5e83692-acbb-4161-89bf-e6b03f81bde6","Users can filter based off criteria meeting their needs","c8556256-acbc-4403-83cc-ed296b1bfe0c/b5e83692-acbb-4161-89bf-e6b03f81bde6/6bbbef0c-c8aa-46a5-8724-70669b611298",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo2YmJiZWYwYy1jOGFhLTQ2YTUtODcyNC03MDY2OWI2MTEyOTg=","Affordable Housing Portal","Fully Implemented","Jessica Liu",100
Feature,"Filter Component","30fa6479-0807-4a23-86b4-4a2ac3d061ec","b5e83692-acbb-4161-89bf-e6b03f81bde6","Users can filter based off criteria meeting their needs","c8556256-acbc-4403-83cc-ed296b1bfe0c/b5e83692-acbb-4161-89bf-e6b03f81bde6/30fa6479-0807-4a23-86b4-4a2ac3d061ec",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTozMGZhNjQ3OS0wODA3LTRhMjMtODZiNC00YTJhYzNkMDYxZWM=","Affordable Housing Portal","Fully Implemented","Jessica Liu",100
Component,"Housing Providers Can Create a rental listing","36db1c7f-7f64-4326-9dcd-4fd2d89b5fad","c8556256-acbc-4403-83cc-ed296b1bfe0c","Affordable Housing Portal","c8556256-acbc-4403-83cc-ed296b1bfe0c/36db1c7f-7f64-4326-9dcd-4fd2d89b5fad",,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTozNmRiMWM3Zi03ZjY0LTQzMjYtOWRjZC00ZmQyZDg5YjVmYWQ=","Affordable Housing Portal",,"Jessica Liu",
Feature,"Create additional metadata fields","66445a62-0d90-4825-802e-4cca0f720d54","36db1c7f-7f64-4326-9dcd-4fd2d89b5fad","Housing Providers Can Create a rental listing","c8556256-acbc-4403-83cc-ed296b1bfe0c/36db1c7f-7f64-4326-9dcd-4fd2d89b5fad/66445a62-0d90-4825-802e-4cca0f720d54","In progress","https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo2NjQ0NWE2Mi0wZDkwLTQ4MjUtODAyZS00Y2NhMGY3MjBkNTQ=","Affordable Housing Portal","Requires Additional Work","Jessica Liu",50
Feature,"Remove Application Due Dates","09f7214a-4a00-4e59-aec4-6d48e26f8b0e","36db1c7f-7f64-4326-9dcd-4fd2d89b5fad","Housing Providers Can Create a rental listing","c8556256-acbc-4403-83cc-ed296b1bfe0c/36db1c7f-7f64-4326-9dcd-4fd2d89b5fad/09f7214a-4a00-4e59-aec4-6d48e26f8b0e","In progress","https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTowOWY3MjE0YS00YTAwLTRlNTktYWVjNC02ZDQ4ZTI2ZjhiMGU=","Affordable Housing Portal","Fully Implemented","Matt Baker",50
Feature,"Remove Leasing Agent Address","a3091911-b864-4254-8bba-18a0d714309f","36db1c7f-7f64-4326-9dcd-4fd2d89b5fad","Housing Providers Can Create a rental listing","c8556256-acbc-4403-83cc-ed296b1bfe0c/36db1c7f-7f64-4326-9dcd-4fd2d89b5fad/a3091911-b864-4254-8bba-18a0d714309f",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTphMzA5MTkxMS1iODY0LTQyNTQtOGJiYS0xOGEwZDcxNDMwOWY=","Affordable Housing Portal","Fully Implemented",Senthil,0
Feature,"Remove Additional Fees","fb27cf7a-72e9-4d0a-a020-25d5828ac6fe","36db1c7f-7f64-4326-9dcd-4fd2d89b5fad","Housing Providers Can Create a rental listing","c8556256-acbc-4403-83cc-ed296b1bfe0c/36db1c7f-7f64-4326-9dcd-4fd2d89b5fad/fb27cf7a-72e9-4d0a-a020-25d5828ac6fe",Released,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTpmYjI3Y2Y3YS03MmU5LTRkMGEtYTAyMC0yNWQ1ODI4YWM2ZmU=","Affordable Housing Portal","Fully Implemented","Jessica Liu",100
Feature,"Remove Application Types","47cc1117-c535-4d11-a2a7-e7f04a56928b","36db1c7f-7f64-4326-9dcd-4fd2d89b5fad","Housing Providers Can Create a rental listing","c8556256-acbc-4403-83cc-ed296b1bfe0c/36db1c7f-7f64-4326-9dcd-4fd2d89b5fad/47cc1117-c535-4d11-a2a7-e7f04a56928b",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTo0N2NjMTExNy1jNTM1LTRkMTEtYTJhNy1lN2YwNGE1NjkyOGI=","Affordable Housing Portal","Fully Implemented","Jessica Liu",0
Feature,"Housing Provider can upload images","36b9da35-2582-4f94-ad89-339d4f810667","36db1c7f-7f64-4326-9dcd-4fd2d89b5fad","Housing Providers Can Create a rental listing","c8556256-acbc-4403-83cc-ed296b1bfe0c/36db1c7f-7f64-4326-9dcd-4fd2d89b5fad/36b9da35-2582-4f94-ad89-339d4f810667",Planned,"https://affordable-housing-portal.productboard.com/prioritization/MTpQcmlvcml0aXphdGlvbkJvYXJkOjQ5ZmYwYzk4LTc4OGUtNGYwYi1iNTYxLWYzMjY1YjkyMDhhNg==?d=MTpQbUVudGl0eTozNmI5ZGEzNS0yNTgyLTRmOTQtYWQ4OS0zMzlkNGY4MTA2Njc=","Affordable Housing Portal","Requires Additional Work","Jessica Liu",0
